2,12,123,1234,5,15,125,1125,6,16,126,1126,7,17,127
3,13,134,2345,6,26,236,1236,7,27,237,1237,8,28,238
4,14,145,3456,7,37,347,1347,8,38,348,1348,9,39,349
5,15,156,4567,8,48,458,1458,9,49,459,1459,10,50,460
6,16,167,5678,9,59,569,1569,10,60,570,1560,11,61,571
7,17,178,6789,10,70,680,1670,11,71,681,1671,12,72,682
8,18,189,7890,11,81,791,1781,12,82,792,1782,13,83,793
9,19,190,8901,12,92,902,1892,13,93,903,1893,14,94,904
10,20,201,9012,13,103,1013,1903,14,104,1014,1904,15,105,1015
11,21,212,9123,14,114,1124,1914,15,115,1125,1915,16,116,1126
